id, tz, handle
fad10aa0-e78c-46f2-a071-fb64da28c4bf,Europe/Stockholm, First
264335aa-a163-44e5-a5da-f8ae04e1dffd,Europe/Stockholm, Second
100c899e-d945-4bfc-95ef-891587ae686b,Europe/Stockholm, Third
ffdf7237-4df9-44e9-a81a-4b50115d33a5,Europe/Helsinki, Forth
1ed8a38d-8d47-42d3-a5de-e8bcec9dca6a,Europe/Helsinki, Fifth
858d53e0-a818-4dfa-a420-579ebd5ccd5b,Europe/Helsinki, Sixth
4c640f8c-90b6-4c9e-ade9-ed4652550338,Europe/London, Seventh
23ab2835-c34b-4413-b5ab-03095641951f,Europe/London, Eighth
b40eb02e-8783-454b-9784-fd56ecdf5bc6,Europe/London, Nineth
9941dad8-8581-4585-8def-4a3c3cd2c102,Europe/Moscow, Tenth
29264b31-ba12-4110-b3fa-128536e70510,Europe/Moscow, Eleventh
